# State-wise personal loans by scheduled commercial banks (INR crore outstanding).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 159.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,personal_loans_outstanding_crore,as_of,source,quality,geography_note
AS,2006,3971,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2007,5333,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2008,6059,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2009,7355,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2010,8598,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2011,9129,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2012,10441,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2013,9715,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2014,12772,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2015,13239,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2016,15589,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2017,18214,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2018,22852,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2019,27327,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2020,31826,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2021,37876,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2022,44357,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2023,53654,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2024,65507,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
AS,2025,74641,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2004,3194,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2005,4313,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2006,5821,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2007,8577,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2008,9571,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2009,6971,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2010,8374,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2011,11674,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2012,13456,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2013,15640,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2014,17497,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2015,18520,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2016,22212,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2017,26297,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2018,31346,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2019,37853,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2020,44537,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2021,53366,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2022,65323,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2023,82228,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2024,100511,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
BR,2025,116048,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2004,1461,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2005,1979,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2006,2658,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2007,3541,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2008,5235,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2009,4835,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2010,5333,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2011,6607,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2012,7296,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2013,10064,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2014,10963,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2015,12597,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2016,15717,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2017,18478,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2018,22567,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2019,26673,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2020,32621,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2021,38233,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2022,44388,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2023,51955,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2024,64383,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CG,2025,72740,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2004,1718,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2005,2323,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2006,3656,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2007,4040,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2008,3695,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2009,3953,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2010,3967,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2011,5048,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2012,5835,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2013,6023,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2014,6280,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2015,7606,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2016,8094,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2017,9084,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2018,10277,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2019,11386,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2020,13326,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2021,14834,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2022,17210,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2023,19101,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2024,21917,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
CH,2025,24561,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2004,14091,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2005,21249,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2006,31238,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2007,34343,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2008,34010,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2009,43665,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
DL,2010,38813,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
