# State-wise personal loans by scheduled commercial banks (INR crore outstanding).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 159.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,personal_loans_outstanding_crore,as_of,source,quality,geography_note
MZ,2012,886,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2013,906,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2014,1079,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2015,1199,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2016,1528,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2017,1682,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2018,1872,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2019,2106,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2020,2671,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2021,3229,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2022,3863,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2023,4586,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2024,5344,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
MZ,2025,5980,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2004,81,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2005,144,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2006,225,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2007,368,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2008,491,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2009,652,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2010,866,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2011,838,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2012,948,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2013,1063,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2014,1209,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2015,1404,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2016,1659,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2017,1917,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2018,2276,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2019,2757,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2020,3380,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2021,4235,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2022,4947,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2023,5961,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2024,6932,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
NL,2025,7635,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2004,4482,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2005,6283,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2006,8091,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2007,9204,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2008,9223,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2009,10786,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2010,11427,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2011,12556,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2012,13768,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2013,15253,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2014,16748,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2015,18736,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2016,21359,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2017,24626,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2018,29581,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2019,33897,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2020,39791,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2021,47767,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2022,57644,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2023,70145,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2024,85791,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
OD,2025,96451,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2004,6239,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2005,8711,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2006,11216,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2007,12930,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2008,12241,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2009,13401,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2010,14041,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2011,17888,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2012,18631,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2013,20502,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2014,26670,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2015,28494,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2016,31207,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2017,35641,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2018,42867,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2019,48503,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2020,56495,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2021,64554,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2022,76984,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2023,89642,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2024,119903,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PB,2025,131727,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2004,322,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2005,452,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2006,610,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2007,808,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2008,800,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2009,1184,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2010,1308,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2011,1567,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2012,1911,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2013,2515,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2014,2804,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2015,2969,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2016,3317,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2017,3732,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2018,4306,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2019,4595,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2020,5233,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2021,5906,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2022,6570,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2023,7511,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2024,9138,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
PY,2025,10330,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2004,6183,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2005,8376,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2006,11828,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2007,14666,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2008,16846,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2009,17161,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2010,19104,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2011,20788,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2012,22733,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2013,27412,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2014,31783,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2015,37986,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2016,47560,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2017,56874,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2018,70516,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2019,84627,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2020,100363,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2021,114845,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2022,138089,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2023,161820,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2024,210937,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
RJ,2025,238265,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2004,147,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2005,255,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2006,364,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2007,486,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2008,526,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2009,518,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2010,557,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2011,653,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2012,739,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2013,798,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2014,781,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2015,845,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2016,1010,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2017,1099,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2018,1394,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2019,1541,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2020,1844,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2021,2232,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2022,2744,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2023,3349,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2024,3890,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
SK,2025,4334,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2004,22291,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2005,27921,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2006,37334,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2007,44678,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2008,59988,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2009,64573,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2010,63623,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2011,75841,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2012,89219,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2013,111073,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2014,112207,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2015,128012,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2016,137680,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2017,156175,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2018,184515,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2019,203821,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2020,234074,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2021,260647,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2022,287532,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2023,341183,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2024,425254,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TN,2025,503837,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2004,220,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2005,311,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2006,504,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2007,660,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2008,731,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2009,896,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2010,994,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2011,1238,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2012,1424,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2013,1780,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2014,1809,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2015,2170,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2016,2356,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2017,2345,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2018,2927,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2019,3617,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2020,4248,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2021,4873,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2022,5581,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2023,6189,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2024,8364,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TR,2025,8216,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TS,2015,68671,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TS,2016,79522,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TS,2017,90206,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TS,2018,112250,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TS,2019,137137,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TS,2020,170189,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TS,2021,201322,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TS,2022,242151,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TS,2023,293026,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TS,2024,388100,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
TS,2025,437202,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2004,1359,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2005,1932,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2006,2563,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2007,3130,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2008,3417,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2009,3943,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2010,4545,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2011,5487,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2012,6053,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2013,7187,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2014,8611,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2015,9680,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2016,11675,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2017,13473,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2018,16726,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2019,19563,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2020,22591,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2021,25461,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2022,29588,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2023,35029,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2024,45772,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UK,2025,50234,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2004,11406,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2005,15570,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2006,19850,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2007,23637,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2008,31299,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2009,27385,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2010,28027,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2011,34110,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2012,37347,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2013,46286,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2014,54867,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2015,64901,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2016,78345,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2017,90551,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2018,112955,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2019,130377,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2020,152681,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2021,176301,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2022,206282,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2023,252493,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2024,336854,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
UP,2025,387222,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2004,8687,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2005,12947,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2006,17371,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2007,22619,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2008,21052,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2009,26249,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2010,25472,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2011,27415,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2012,26162,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2013,31313,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2014,36485,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2015,38625,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2016,46218,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2017,54355,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2018,65965,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2019,77492,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2020,92689,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2021,107044,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2022,125035,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2023,151478,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2024,186904,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
WB,2025,208763,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
