# State GSDP at constant 2011-12 prices (INR lakh) and derived real growth.
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 22.
# FY = April-March. Growth is arithmetic percent change from the prior available FY.
state_code,fy,gsdp_constant_2011_12_lakh,source,level_quality,growth_quality,quality,geography_note,gsdp_real_growth_pct
AS,2015-16,19110899,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,15.675
AS,2016-17,20208084,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,5.741
AS,2017-18,21991938,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,8.827
AS,2018-19,23103956,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,5.056
AS,2019-20,24070724,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.184
AS,2020-21,24781923,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,2.955
AS,2021-22,25813969,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.165
AS,2022-23,28979318,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,12.262
AS,2023-24,32455580,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,11.996
AS,2024-25,34981426,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.782
BR,2011-12,24714396,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,
BR,2012-13,25685096,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,3.928
BR,2013-14,26964984,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.983
BR,2014-15,27948244,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,3.646
BR,2015-16,29648818,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.085
BR,2016-17,31879745,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.525
BR,2017-18,34402783,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.914
BR,2018-19,38138253,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,10.858
BR,2019-20,39832923,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.443
BR,2020-21,36896986,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-7.371
BR,2021-22,38725556,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.956
BR,2022-23,43690911,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,12.822
BR,2023-24,48912616,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,11.951
BR,2024-25,53137172,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,8.637
CG,2011-12,15807382,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,
CG,2012-13,16597740,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,5.0
CG,2013-14,18257954,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,10.003
CG,2014-15,18581344,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,1.771
CG,2015-16,19058377,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,2.567
CG,2016-17,21370477,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,12.132
CG,2017-18,22013569,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,3.009
CG,2018-19,24457916,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,11.104
CG,2019-20,25154906,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,2.85
CG,2020-21,25119230,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-0.142
CG,2021-22,26703254,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.306
CG,2022-23,28581697,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.035
CG,2023-24,30671211,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.311
CG,2024-25,32975231,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.512
CH,2011-12,1876816,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,
CH,2012-13,2028513,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,8.083
CH,2013-14,2210470,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,8.97
CH,2014-15,2287013,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,3.463
CH,2015-16,2493224,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,9.017
CH,2016-17,2691721,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.961
CH,2017-18,2847968,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,5.805
CH,2018-19,2986579,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.867
CH,2019-20,3167934,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.072
CH,2020-21,2859329,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-9.742
CH,2021-22,3058180,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.954
CH,2022-23,3486751,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,14.014
CH,2023-24,3818573,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,9.517
DL,2011-12,34379750,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,
DL,2012-13,36662837,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.641
DL,2013-14,39290838,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.168
DL,2014-15,42835515,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,9.022
DL,2015-16,47562250,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,11.035
DL,2016-17,51176524,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.599
DL,2017-18,54201502,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,5.911
DL,2018-19,56532692,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.301
DL,2019-20,58616836,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,3.687
DL,2020-21,53363448,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-8.962
DL,2021-22,57205064,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.199
DL,2022-23,61365437,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.273
DL,2023-24,66986283,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,9.16
DL,2024-25,71148567,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.214
GA,2011-12,4236666,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,
GA,2012-13,3585022,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-15.381
GA,2013-14,3156846,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-11.943
GA,2014-15,4011649,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,27.078
GA,2015-16,4609086,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,14.893
GA,2016-17,5124924,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,11.192
