# State-wise length of roads (km).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 146.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,road_length_km,as_of,source,quality,geography_note
DN,2010,1016,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2011,1044,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2012,1047,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2013,1000,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2014,1348,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2015,1387,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2016,1630,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2017,1613,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2018,1553,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2019,1407,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2020,1412,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
GA,2005,10331,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2006,10420,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2007,10523,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2008,10569,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2009,10190,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2010,10356,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2011,10627,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2012,11082,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2013,11598,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2014,13267,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2015,14624,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2016,16063,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2017,16659,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2018,18607,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2019,18697,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GA,2020,18972,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2005,143419,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2006,144777,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2007,145631,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2008,146630,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2009,153521,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2010,155614,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2011,156188,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2012,163149,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2013,165640,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2014,179063,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2015,182287,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2016,179144,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2017,180927,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2018,201742,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2019,249373,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
GJ,2020,260627,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2005,23452,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2006,23614,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2007,34954,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2008,36298,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2009,44467,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2010,46734,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2011,47963,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2012,50449,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2013,53223,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2014,54388,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2015,55593,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2016,55759,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2017,62812,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2018,61899,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2019,73230,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HP,2020,68116,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2005,28657,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2006,29055,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2007,29397,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2008,29726,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2009,36032,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2010,37276,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2011,41729,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2012,42638,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2013,42476,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2014,42685,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2015,46287,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2016,48482,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2017,81386,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2018,50021,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2019,50292,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
HR,2020,53738,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2005,18038,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2006,18055,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2007,18071,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2008,17531,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2009,20772,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2010,22302,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2011,23903,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2012,26277,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2013,37064,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2014,41258,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2015,42705,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2016,66786,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2017,69871,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2018,79062,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2019,81245,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JH,2020,83962,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
JK,2005,21811,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2006,22043,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2007,22058,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2008,22323,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
JK,2009,24581,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,Source Jammu & Kashmir includes the territory later separated as Ladakh.
