# State-wise length of roads (km).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 146.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,road_length_km,as_of,source,quality,geography_note
UP,2014,397224,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2015,415383,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2016,422412,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2017,428055,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2018,436333,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2019,442907,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
UP,2020,459846,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2005,195679,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2006,199052,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2007,208415,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2008,211770,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2009,290170,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2010,291805,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2011,299209,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2012,315404,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2013,309692,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2014,313750,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2015,295997,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2016,316730,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2017,322067,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2018,329126,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2019,283865,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
WB,2020,285197,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 146",official,
