# Per-capita Net State Domestic Product at constant 2011-12 prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 20
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_constant_2011_12_inr,source,quality
DL,2013-14,200702,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2014-15,213669,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2015-16,233115,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2016-17,244255,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2017-18,252960,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2018-19,257597,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2019-20,260559,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2020-21,228162,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2021-22,239821,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2022-23,252768,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2023-24,271490,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
DL,2024-25,283093,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2011-12,259444,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2012-13,220019,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2013-14,188358,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2014-15,241081,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2015-16,278601,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2016-17,305875,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2017-18,308296,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2018-19,308753,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2019-20,313973,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2020-21,295023,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2021-22,294563,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2022-23,333709,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
GA,2023-24,357611,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
