# Per-capita Net State Domestic Product at current prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 19
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_current_inr,source,quality
HR,2016-17,184982,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2017-18,208437,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2018-19,223022,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2019-20,232530,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2020-21,225137,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2021-22,265163,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2022-23,289213,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2023-24,319363,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
HR,2024-25,353182,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2011-12,41254,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2012-13,47360,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2013-14,50006,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2014-15,57301,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2015-16,52754,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2016-17,60018,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2017-18,67484,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2018-19,75421,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2019-20,75016,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2020-21,69963,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2021-22,88500,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2022-23,95839,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2023-24,106529,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JH,2024-25,116663,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
JK,2011-12,51775,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
